timestamp,cycle,event_type,resonance_type,resonance_value,scale,scale_name,complexity,complexity_name,total_nodes,total_modes,coherence,event_time_ms
2026-04-05T04:00:26.714890,300,node_creation,0.1↔0.3,0.825,0.3,буквы/слоги,1,бытовой,41,282399,0.993,826714
2026-04-05T04:00:27.494790,314,node_creation,0.3↔1.0,0.834,10.0,предложения,2,научный,42,282399,0.993,827494
2026-04-05T04:00:27.574766,315,node_creation,0.1↔0.3,0.829,10.0,предложения,2,научный,43,282399,0.993,827574
2026-04-05T04:00:28.026672,323,node_creation,0.1↔0.3,0.820,100.0,целые тексты,3,,44,282399,0.993,828026
2026-04-05T04:00:28.316697,328,node_creation,0.1↔0.3,0.827,30.0,абзацы,2,научный,45,282399,0.993,828316
2026-04-05T04:00:28.638697,334,node_creation,0.1↔0.3,0.808,1.0,слова,3,,46,282399,0.993,828638
2026-04-05T04:00:28.747395,336,node_creation,0.1↔0.3,0.822,0.1,буквы/слоги,1,бытовой,47,282399,0.993,828747
2026-04-05T04:00:29.221051,343,node_creation,0.1↔0.3,0.825,30.0,абзацы,2,научный,48,282399,0.993,829221
2026-04-05T04:00:29.497079,348,node_creation,0.3↔1.0,0.832,3.0,словосочетания,4,метафорический,49,282399,0.993,829497
2026-04-05T04:00:29.568056,349,node_creation,0.3↔1.0,0.830,0.3,буквы/слоги,3,,50,282399,0.993,829568
2026-04-05T04:00:29.699777,351,node_creation,0.3↔1.0,0.830,10.0,предложения,2,научный,51,282399,0.993,829699
2026-04-05T04:00:29.836412,353,node_creation,0.1↔0.3,0.832,3.0,словосочетания,1,бытовой,52,282399,0.993,829836
2026-04-05T04:00:30.018441,356,node_creation,0.3↔1.0,0.819,10.0,предложения,4,метафорический,53,282399,0.993,830018
2026-04-05T04:00:30.161418,358,node_creation,0.3↔1.0,0.810,3.0,словосочетания,4,метафорический,54,282399,0.993,830161
2026-04-05T04:00:30.477441,364,node_creation,0.1↔0.3,0.823,3.0,словосочетания,2,научный,55,282399,0.993,830477
2026-04-05T04:00:31.816727,385,node_creation,0.1↔0.3,0.838,30.0,абзацы,1,бытовой,56,282399,0.993,831816
2026-04-05T04:00:32.206698,391,node_creation,0.1↔0.3,0.834,30.0,абзацы,2,научный,57,282399,0.993,832206
2026-04-05T04:00:32.315698,393,node_creation,0.1↔0.3,0.826,0.1,буквы/слоги,1,бытовой,58,282399,0.993,832317
2026-04-05T04:00:32.551726,397,node_creation,0.1↔0.3,0.831,0.3,буквы/слоги,1,бытовой,59,282399,0.993,832551
2026-04-05T04:00:32.783278,401,node_creation,0.1↔0.3,0.810,30.0,абзацы,1,бытовой,60,282399,0.993,832783
2026-04-05T04:00:33.044298,406,node_creation,0.1↔0.3,0.827,0.1,буквы/слоги,2,научный,61,282399,0.993,833044
2026-04-05T04:00:33.287278,410,node_creation,0.3↔1.0,0.828,0.1,буквы/слоги,3,,62,282399,0.993,833287
2026-04-05T04:00:33.796907,420,node_creation,0.1↔0.3,0.822,0.1,буквы/слоги,1,бытовой,63,282399,0.993,833796
2026-04-05T04:00:34.521914,434,node_creation,0.3↔1.0,0.831,0.3,буквы/слоги,3,,64,282399,0.993,834521
2026-04-05T04:00:35.140258,446,node_creation,0.1↔0.3,0.823,30.0,абзацы,1,бытовой,65,282399,0.993,835140
2026-04-05T04:00:35.242259,448,node_creation,0.1↔0.3,0.827,30.0,абзацы,3,,66,282399,0.993,835242
2026-04-05T04:00:35.643253,455,node_creation,0.3↔1.0,0.821,0.1,буквы/слоги,2,научный,67,282399,0.993,835643
2026-04-05T04:00:35.917126,460,node_creation,0.3↔1.0,0.820,1.0,слова,1,бытовой,68,282399,0.993,835917
2026-04-05T04:00:36.133124,464,node_creation,0.3↔1.0,0.829,100.0,целые тексты,1,бытовой,69,282399,0.993,836133
2026-04-05T04:00:36.200127,465,node_creation,0.3↔1.0,0.821,0.3,буквы/слоги,1,бытовой,70,282399,0.993,836200
2026-04-05T04:00:36.383151,468,node_creation,0.3↔1.0,0.830,30.0,абзацы,3,,71,282399,0.993,836383
2026-04-05T04:00:36.604150,472,node_creation,0.1↔0.3,0.813,30.0,абзацы,1,бытовой,72,282399,0.993,836604
2026-04-05T04:00:36.767734,474,node_creation,0.1↔0.3,0.820,100.0,целые тексты,2,научный,73,282399,0.993,836767
2026-04-05T04:00:37.208487,482,node_creation,0.3↔1.0,0.828,0.3,буквы/слоги,3,,74,282399,0.993,837208
2026-04-05T04:00:37.372469,485,node_creation,0.3↔1.0,0.828,3.0,словосочетания,4,метафорический,75,282399,0.993,837372
2026-04-05T04:00:37.547487,488,node_creation,0.3↔1.0,0.826,100.0,целые тексты,1,бытовой,76,282399,0.993,837547
2026-04-05T04:00:37.803745,493,node_creation,0.3↔1.0,0.813,10.0,предложения,2,научный,77,282399,0.993,837803
2026-04-05T04:00:38.344746,503,node_creation,0.3↔1.0,0.824,10.0,предложения,3,,78,282399,0.993,838344
2026-04-05T04:00:38.731399,510,node_creation,0.1↔0.3,0.812,30.0,абзацы,1,бытовой,79,282399,0.993,838731
2026-04-05T04:00:39.581092,526,node_creation,0.3↔1.0,0.812,100.0,целые тексты,1,бытовой,80,282399,0.993,839581
2026-04-05T04:00:40.184398,537,node_creation,0.3↔1.0,0.833,0.1,буквы/слоги,4,метафорический,81,282399,0.993,840184
2026-04-05T04:00:40.526422,543,node_creation,0.3↔1.0,0.809,1.0,слова,3,,82,282399,0.993,840526
2026-04-05T04:00:41.012442,551,node_creation,0.1↔0.3,0.829,0.3,буквы/слоги,4,метафорический,83,282399,0.993,841012
2026-04-05T04:00:41.554417,561,node_creation,0.3↔1.0,0.828,0.3,буквы/слоги,3,,84,282399,0.993,841554
2026-04-05T04:00:42.454045,578,node_creation,0.3↔1.0,0.824,0.3,буквы/слоги,3,,85,282399,0.993,842454
2026-04-05T04:00:42.512016,579,node_creation,0.3↔1.0,0.830,0.1,буквы/слоги,2,научный,86,282399,0.993,842512
2026-04-05T04:00:43.037550,588,node_creation,0.1↔0.3,0.835,0.1,буквы/слоги,1,бытовой,87,282399,0.993,843037
2026-04-05T04:00:43.210551,591,node_creation,0.3↔1.0,0.834,3.0,словосочетания,2,научный,88,282399,0.993,843210
2026-04-05T04:00:44.132994,609,node_creation,0.1↔0.3,0.809,0.1,буквы/слоги,1,бытовой,89,282399,0.993,844132
2026-04-05T04:00:44.365013,613,node_creation,0.3↔1.0,0.830,30.0,абзацы,4,метафорический,90,282399,0.993,844365
2026-04-05T04:00:45.294281,631,node_creation,0.1↔0.3,0.821,100.0,целые тексты,1,бытовой,91,282399,0.993,845294
2026-04-05T04:00:45.368255,632,node_creation,0.3↔1.0,0.822,30.0,абзацы,1,бытовой,92,282399,0.993,845368
2026-04-05T04:00:45.601282,636,node_creation,0.1↔0.3,0.835,3.0,словосочетания,2,научный,93,282399,0.993,845601
2026-04-05T04:00:46.175772,646,node_creation,0.1↔0.3,0.816,0.3,буквы/слоги,1,бытовой,94,282399,0.993,846175
2026-04-05T04:00:47.107024,664,node_creation,0.1↔0.3,0.825,0.3,буквы/слоги,3,,95,282399,0.993,847107
2026-04-05T04:00:47.332998,668,node_creation,0.3↔1.0,0.816,0.3,буквы/слоги,3,,96,282399,0.993,847332
2026-04-05T04:00:47.653024,674,node_creation,0.1↔0.3,0.831,1.0,слова,4,метафорический,97,282399,0.993,847653
2026-04-05T04:00:47.781163,676,node_creation,0.1↔0.3,0.831,3.0,словосочетания,1,бытовой,98,282399,0.993,847783
2026-04-05T04:00:47.998172,680,node_creation,0.1↔0.3,0.819,10.0,предложения,4,метафорический,99,282399,0.993,847998
2026-04-05T04:00:48.315191,686,node_creation,0.3↔1.0,0.815,0.3,буквы/слоги,1,бытовой,100,282399,0.993,848315
2026-04-05T04:00:48.397168,687,node_creation,0.1↔0.3,0.834,10.0,предложения,1,бытовой,101,282399,0.993,848397
2026-04-05T04:00:48.501163,689,node_creation,0.1↔0.3,0.826,30.0,абзацы,3,,102,282399,0.993,848501
2026-04-05T04:00:48.584168,690,node_creation,0.1↔0.3,0.832,1.0,слова,2,научный,103,282399,0.993,848584
2026-04-05T04:00:49.114606,700,node_creation,0.1↔0.3,0.831,30.0,абзацы,1,бытовой,104,282399,0.993,849114
2026-04-05T04:00:49.362606,703,node_creation,0.3↔1.0,0.814,100.0,целые тексты,1,бытовой,105,282399,0.993,849362
2026-04-05T04:00:49.540613,706,node_creation,0.1↔0.3,0.814,1.0,слова,3,,106,282399,0.993,849540
2026-04-05T04:00:49.614609,707,node_creation,0.3↔1.0,0.810,30.0,абзацы,1,бытовой,107,282399,0.993,849614
2026-04-05T04:00:49.897628,712,node_creation,0.1↔0.3,0.833,1.0,слова,1,бытовой,108,282399,0.993,849897
2026-04-05T04:00:50.050628,715,node_creation,0.3↔1.0,0.827,3.0,словосочетания,2,научный,109,282399,0.993,850050
2026-04-05T04:00:50.217601,718,node_creation,0.1↔0.3,0.821,0.1,буквы/слоги,3,,110,282399,0.993,850217
2026-04-05T04:00:50.332601,720,node_creation,0.1↔0.3,0.822,30.0,абзацы,2,научный,111,282399,0.993,850332
2026-04-05T04:00:50.472603,722,node_creation,0.1↔0.3,0.817,1.0,слова,3,,112,282399,0.993,850472
2026-04-05T04:00:50.698283,726,node_creation,0.1↔0.3,0.831,30.0,абзацы,1,бытовой,113,282399,0.993,850698
2026-04-05T04:00:50.961748,730,node_creation,0.3↔1.0,0.834,1.0,слова,2,научный,114,282399,0.993,850961
2026-04-05T04:00:51.295748,736,node_creation,0.3↔1.0,0.826,3.0,словосочетания,2,научный,115,282399,0.993,851295
2026-04-05T04:00:51.548748,740,node_creation,0.3↔1.0,0.810,0.3,буквы/слоги,3,,116,282399,0.993,851548
2026-04-05T04:00:51.728279,743,node_creation,0.1↔0.3,0.817,3.0,словосочетания,2,научный,117,282399,0.993,851728
2026-04-05T04:00:51.967938,747,node_creation,0.1↔0.3,0.821,100.0,целые тексты,1,бытовой,118,282399,0.993,851967
2026-04-05T04:00:52.080910,749,node_creation,0.3↔1.0,0.824,0.1,буквы/слоги,2,научный,119,282399,0.993,852080
2026-04-05T04:00:52.487938,756,node_creation,0.1↔0.3,0.815,30.0,абзацы,1,бытовой,120,282399,0.993,852487
2026-04-05T04:00:52.766266,761,node_creation,0.3↔1.0,0.824,10.0,предложения,3,,121,282399,0.993,852766
2026-04-05T04:00:53.248267,770,node_creation,0.1↔0.3,0.815,1.0,слова,2,научный,122,282399,0.993,853248
2026-04-05T04:00:53.558266,776,node_creation,0.1↔0.3,0.826,1.0,слова,1,бытовой,123,282399,0.993,853558
2026-04-05T04:00:53.998661,784,node_creation,0.3↔1.0,0.810,30.0,абзацы,1,бытовой,124,282399,0.993,853998
2026-04-05T04:00:54.370635,790,node_creation,0.1↔0.3,0.826,1.0,слова,3,,125,282399,0.993,854370
2026-04-05T04:00:54.432639,791,node_creation,0.1↔0.3,0.832,10.0,предложения,3,,126,282399,0.993,854432
2026-04-05T04:00:54.874665,799,node_creation,0.1↔0.3,0.822,0.1,буквы/слоги,2,научный,127,282399,0.993,854874
2026-04-05T04:00:55.221664,805,node_creation,0.3↔1.0,0.836,1.0,слова,3,,128,282399,0.993,855221
2026-04-05T04:00:56.047969,821,node_creation,0.1↔0.3,0.815,10.0,предложения,2,научный,129,282399,0.993,856047
2026-04-05T04:00:56.470951,828,node_creation,0.3↔1.0,0.827,100.0,целые тексты,3,,130,282399,0.993,856470
2026-04-05T04:00:57.311192,843,node_creation,0.1↔0.3,0.813,1.0,слова,3,,131,282399,0.993,857311
2026-04-05T04:00:57.577193,848,node_creation,0.1↔0.3,0.831,1.0,слова,3,,132,282399,0.993,857577
2026-04-05T04:00:58.102439,858,node_creation,0.1↔0.3,0.824,10.0,предложения,1,бытовой,133,282399,0.993,858102
2026-04-05T04:00:58.309415,860,node_creation,0.3↔1.0,0.812,30.0,абзацы,1,бытовой,134,282399,0.993,858309
2026-04-05T04:00:58.378412,861,node_creation,0.3↔1.0,0.822,10.0,предложения,1,бытовой,135,282399,0.993,858378
2026-04-05T04:00:58.446414,862,node_creation,0.3↔1.0,0.832,30.0,абзацы,2,научный,136,282399,0.993,858447
2026-04-05T04:00:59.175084,876,node_creation,0.1↔0.3,0.822,0.3,буквы/слоги,4,метафорический,137,282399,0.993,859175
2026-04-05T04:01:00.381361,899,node_creation,0.3↔1.0,0.823,0.3,буквы/слоги,3,,138,282399,0.993,860381
2026-04-05T04:01:00.721011,905,node_creation,0.1↔0.3,0.826,30.0,абзацы,1,бытовой,139,282399,0.993,860721
2026-04-05T04:01:00.858171,907,node_creation,0.3↔1.0,0.837,0.1,буквы/слоги,1,бытовой,140,282399,0.993,860858
2026-04-05T04:01:01.683830,922,node_creation,0.3↔1.0,0.819,0.1,буквы/слоги,3,,141,282399,0.993,861683
2026-04-05T04:01:01.763826,923,node_creation,0.1↔0.3,0.831,30.0,абзацы,3,,142,282399,0.993,861763
2026-04-05T04:01:01.970538,927,node_creation,0.1↔0.3,0.809,0.1,буквы/слоги,2,научный,143,282399,0.993,861970
2026-04-05T04:01:02.590564,939,node_creation,0.1↔0.3,0.823,30.0,абзацы,2,научный,144,282399,0.993,862590
2026-04-05T04:01:02.934382,945,node_creation,0.1↔0.3,0.815,0.1,буквы/слоги,3,,145,282399,0.993,862934
2026-04-05T04:01:02.988356,946,node_creation,0.1↔0.3,0.827,10.0,предложения,2,научный,146,282399,0.993,862988
2026-04-05T04:01:03.211382,950,node_creation,0.1↔0.3,0.837,100.0,целые тексты,2,научный,147,282399,0.993,863211
2026-04-05T04:01:03.456363,954,node_creation,0.1↔0.3,0.833,3.0,словосочетания,1,бытовой,148,282399,0.993,863456
2026-04-05T04:01:04.095770,966,node_creation,0.1↔0.3,0.818,30.0,абзацы,1,бытовой,149,282399,0.993,864095
2026-04-05T04:01:04.487770,973,node_creation,0.1↔0.3,0.820,3.0,словосочетания,2,научный,150,282399,0.993,864487
2026-04-05T04:01:04.864079,980,node_creation,0.1↔0.3,0.835,10.0,предложения,1,бытовой,151,282399,0.993,864864
2026-04-05T04:01:05.028059,982,node_creation,0.1↔0.3,0.809,0.3,буквы/слоги,3,,152,282399,0.993,865028
2026-04-05T04:01:05.200080,985,node_creation,0.1↔0.3,0.821,30.0,абзацы,4,метафорический,153,282399,0.993,865200
2026-04-05T04:01:06.868292,1017,node_creation,0.3↔1.0,0.815,1.0,слова,2,научный,154,282399,0.993,866868
2026-04-05T04:01:07.369292,1025,node_creation,0.3↔1.0,0.826,30.0,абзацы,2,научный,155,282399,0.993,867369
2026-04-05T04:01:08.700178,1051,node_creation,0.3↔1.0,0.827,100.0,целые тексты,2,научный,156,282399,0.993,868700
2026-04-05T04:01:09.335656,1063,node_creation,0.3↔1.0,0.832,1.0,слова,2,научный,157,282399,0.993,869335
2026-04-05T04:01:09.471656,1065,node_creation,0.1↔0.3,0.828,1.0,слова,2,научный,158,282399,0.993,869471
2026-04-05T04:01:09.525653,1066,node_creation,0.3↔1.0,0.809,3.0,словосочетания,1,бытовой,159,282399,0.993,869525
2026-04-05T04:01:09.879982,1072,node_creation,0.3↔1.0,0.825,0.1,буквы/слоги,1,бытовой,160,282399,0.993,869879
2026-04-05T04:01:10.262982,1079,node_creation,0.1↔0.3,0.834,0.3,буквы/слоги,1,бытовой,161,282399,0.993,870262
2026-04-05T04:01:10.875280,1089,node_creation,0.1↔0.3,0.816,3.0,словосочетания,2,научный,162,282399,0.993,870875
2026-04-05T04:01:11.157261,1094,node_creation,0.3↔1.0,0.819,3.0,словосочетания,2,научный,163,282399,0.993,871157
2026-04-05T04:01:11.389261,1098,node_creation,0.1↔0.3,0.810,100.0,целые тексты,3,,164,282399,0.993,871389
2026-04-05T04:01:11.556281,1101,node_creation,0.3↔1.0,0.819,3.0,словосочетания,3,,165,282399,0.993,871556
2026-04-05T04:01:11.684852,1103,node_creation,0.1↔0.3,0.828,0.1,буквы/слоги,1,бытовой,166,282399,0.993,871684
2026-04-05T04:01:11.771860,1104,node_creation,0.1↔0.3,0.826,3.0,словосочетания,1,бытовой,167,282399,0.993,871772
2026-04-05T04:01:12.455501,1117,node_creation,0.1↔0.3,0.837,30.0,абзацы,4,метафорический,168,282399,0.993,872455
2026-04-05T04:01:12.711179,1121,node_creation,0.3↔1.0,0.822,1.0,слова,3,,169,282399,0.993,872711
2026-04-05T04:01:13.073782,1128,node_creation,0.3↔1.0,0.835,0.3,буквы/слоги,1,бытовой,170,282399,0.993,873073
2026-04-05T04:01:13.297801,1132,node_creation,0.1↔0.3,0.811,0.1,буквы/слоги,2,научный,171,282399,0.993,873297
2026-04-05T04:01:13.987696,1145,node_creation,0.3↔1.0,0.827,10.0,предложения,4,метафорический,172,282399,0.993,873987
2026-04-05T04:01:14.578702,1156,node_creation,0.1↔0.3,0.837,30.0,абзацы,1,бытовой,173,282399,0.993,874578
2026-04-05T04:01:15.284107,1169,node_creation,0.1↔0.3,0.810,0.1,буквы/слоги,3,,174,282399,0.993,875284
2026-04-05T04:01:15.360078,1170,node_creation,0.1↔0.3,0.836,100.0,целые тексты,3,,175,282399,0.993,875360
2026-04-05T04:01:15.425084,1171,node_creation,0.1↔0.3,0.825,10.0,предложения,1,бытовой,176,282399,0.993,875425
2026-04-05T04:01:15.635107,1175,node_creation,0.1↔0.3,0.826,10.0,предложения,3,,177,282399,0.993,875635
2026-04-05T04:01:15.725093,1176,node_creation,0.3↔1.0,0.835,3.0,словосочетания,1,бытовой,178,282399,0.993,875725
2026-04-05T04:01:16.116432,1183,node_creation,0.3↔1.0,0.824,100.0,целые тексты,1,бытовой,179,282399,0.993,876116
2026-04-05T04:01:16.276428,1185,node_creation,0.3↔1.0,0.837,0.3,буквы/слоги,1,бытовой,180,282399,0.993,876276
2026-04-05T04:01:16.905224,1196,node_creation,0.1↔0.3,0.837,0.3,буквы/слоги,1,бытовой,181,282399,0.993,876905
2026-04-05T04:01:16.984218,1197,node_creation,0.1↔0.3,0.823,3.0,словосочетания,1,бытовой,182,282399,0.993,876984
2026-04-05T04:01:17.267248,1202,node_creation,0.3↔1.0,0.825,1.0,слова,1,бытовой,183,282399,0.993,877267
2026-04-05T04:01:17.532247,1206,node_creation,0.1↔0.3,0.810,30.0,абзацы,1,бытовой,184,282399,0.993,877532
2026-04-05T04:01:17.762497,1210,node_creation,0.1↔0.3,0.809,0.3,буквы/слоги,1,бытовой,185,282399,0.993,877762
2026-04-05T04:01:18.973452,1232,node_creation,0.1↔0.3,0.816,100.0,целые тексты,4,метафорический,186,282399,0.993,878973
2026-04-05T04:01:19.822780,1248,node_creation,0.1↔0.3,0.814,100.0,целые тексты,3,,187,282399,0.993,879822
2026-04-05T04:01:20.069803,1252,node_creation,0.3↔1.0,0.830,3.0,словосочетания,4,метафорический,188,282399,0.993,880069
2026-04-05T04:01:20.318803,1256,node_creation,0.3↔1.0,0.822,0.3,буквы/слоги,4,метафорический,189,282399,0.993,880318
2026-04-05T04:01:21.013467,1269,node_creation,0.1↔0.3,0.835,100.0,целые тексты,3,,190,282399,0.993,881013
2026-04-05T04:01:21.360486,1275,node_creation,0.3↔1.0,0.818,0.3,буквы/слоги,3,,191,282399,0.993,881360
2026-04-05T04:01:21.977957,1286,node_creation,0.3↔1.0,0.821,10.0,предложения,3,,192,282399,0.993,881977
2026-04-05T04:01:22.369948,1293,node_creation,0.3↔1.0,0.815,0.1,буквы/слоги,1,бытовой,193,282399,0.993,882369
2026-04-05T04:01:22.864806,1302,node_creation,0.1↔0.3,0.821,100.0,целые тексты,1,бытовой,194,282399,0.993,882864
2026-04-05T04:01:23.767157,1319,node_creation,0.3↔1.0,0.825,30.0,абзацы,2,научный,195,282399,0.993,883767
2026-04-05T04:01:24.046164,1324,node_creation,0.1↔0.3,0.825,0.1,буквы/слоги,4,метафорический,196,282399,0.993,884046
2026-04-05T04:01:24.467183,1331,node_creation,0.3↔1.0,0.831,10.0,предложения,1,бытовой,197,282399,0.993,884467
2026-04-05T04:01:24.672839,1335,node_creation,0.1↔0.3,0.836,3.0,словосочетания,3,,198,282399,0.993,884672
2026-04-05T04:01:25.084801,1342,node_creation,0.3↔1.0,0.822,10.0,предложения,2,научный,199,282399,0.993,885084
2026-04-05T04:01:25.394801,1347,node_creation,0.3↔1.0,0.831,1.0,слова,3,,200,282399,0.993,885394
2026-04-05T04:01:25.450773,1348,node_creation,0.3↔1.0,0.817,1.0,слова,1,бытовой,201,282399,0.993,885450
2026-04-05T04:01:25.973623,1357,node_creation,0.3↔1.0,0.813,1.0,слова,4,метафорический,202,282399,0.993,885973
2026-04-05T04:01:26.083601,1359,node_creation,0.1↔0.3,0.837,1.0,слова,2,научный,203,282399,0.993,886083
2026-04-05T04:01:26.388605,1364,node_creation,0.1↔0.3,0.835,1.0,слова,3,,204,282399,0.993,886388
2026-04-05T04:01:26.574601,1367,node_creation,0.1↔0.3,0.832,0.1,буквы/слоги,1,бытовой,205,282399,0.993,886574
2026-04-05T04:01:26.848706,1372,node_creation,0.1↔0.3,0.812,0.3,буквы/слоги,1,бытовой,206,282399,0.993,886848
2026-04-05T04:01:27.553730,1385,node_creation,0.1↔0.3,0.833,0.3,буквы/слоги,1,бытовой,207,282399,0.993,887553
2026-04-05T04:01:27.624709,1386,node_creation,0.1↔0.3,0.830,3.0,словосочетания,3,,208,282399,0.993,887624
2026-04-05T04:01:27.758966,1388,node_creation,0.3↔1.0,0.832,3.0,словосочетания,1,бытовой,209,282399,0.993,887758
2026-04-05T04:01:28.144708,1395,node_creation,0.3↔1.0,0.822,30.0,абзацы,2,научный,210,282399,0.993,888151
2026-04-05T04:01:28.238707,1396,node_creation,0.1↔0.3,0.813,100.0,целые тексты,2,научный,211,282399,0.993,888238
2026-04-05T04:01:28.416711,1399,node_creation,0.1↔0.3,0.838,0.3,буквы/слоги,4,метафорический,212,282399,0.993,888416
2026-04-05T04:01:29.183527,1413,node_creation,0.3↔1.0,0.834,30.0,абзацы,4,метафорический,213,282399,0.993,889183
2026-04-05T04:01:29.403530,1416,node_creation,0.1↔0.3,0.837,100.0,целые тексты,3,,214,282399,0.993,889403
2026-04-05T04:01:29.736416,1421,node_creation,0.1↔0.3,0.827,30.0,абзацы,2,научный,215,282399,0.993,889736
2026-04-05T04:01:29.930042,1424,node_creation,0.1↔0.3,0.811,3.0,словосочетания,2,научный,216,282399,0.993,889930
2026-04-05T04:01:30.081020,1426,node_creation,0.1↔0.3,0.832,30.0,абзацы,3,,217,282399,0.993,890081
2026-04-05T04:01:30.227020,1428,node_creation,0.1↔0.3,0.818,10.0,предложения,3,,218,282399,0.993,890227
