timestamp,cycle,furcations_count,scales,complexities
2026-04-06T03:27:11.196383,582,1,1.0,4
2026-04-06T03:27:11.399384,585,2,1.0;1.0,3;2
2026-04-06T03:27:11.920388,591,1,1.0,2
2026-04-06T03:27:14.086381,614,2,1.0;1.0,4;3
2026-04-06T03:27:14.791386,621,1,1.0,3
2026-04-06T03:27:17.902384,653,2,1.0;1.0,4;2
2026-04-06T03:27:18.300382,658,1,1.0,4
2026-04-06T03:27:20.294388,681,2,1.0;1.0,4;1
2026-04-06T03:27:20.885388,688,1,1.0,2
2026-04-06T03:27:23.040382,715,2,1.0;1.0,3;4
2026-04-06T03:27:23.945386,724,1,1.0,2
2026-04-06T03:27:24.636387,733,2,1.0;1.0,2;4
2026-04-06T03:27:26.167386,744,1,1.0,3
2026-04-06T03:27:27.904386,763,2,1.0;1.0,1;2
2026-04-06T03:27:28.525388,768,1,1.0,4
2026-04-06T03:27:30.080381,786,1,1.0,2
2026-04-06T03:27:31.869389,806,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:27:33.154389,820,2,1.0;1.0,2;4
2026-04-06T03:27:33.933389,828,2,1.0;1.0,2;4
2026-04-06T03:27:34.029386,829,3,1.0;1.0;1.0,2;1;3
2026-04-06T03:27:37.561384,866,2,1.0;1.0,4;3
2026-04-06T03:27:37.987385,871,2,1.0;1.0,3;3
2026-04-06T03:27:38.449388,876,3,1.0;1.0;1.0,3;2;2
2026-04-06T03:27:39.540384,887,2,1.0;1.0,3;4
2026-04-06T03:27:42.194390,916,1,1.0,2
2026-04-06T03:27:46.241386,957,1,1.0,1
2026-04-06T03:27:46.956387,965,1,1.0,4
2026-04-06T03:27:47.682386,973,1,1.0,2
2026-04-06T03:27:47.862389,975,1,1.0,4
2026-04-06T03:27:49.931388,998,2,1.0;1.0,3;4
2026-04-06T03:27:51.190382,1011,1,1.0,2
2026-04-06T03:27:52.461388,1025,2,1.0;1.0,3;4
2026-04-06T03:27:53.034386,1031,1,1.0,4
2026-04-06T03:27:55.206385,1051,1,1.0,2
2026-04-06T03:27:55.807387,1058,2,1.0;1.0,3;2
2026-04-06T03:27:58.481389,1086,2,1.0;1.0,3;2
2026-04-06T03:28:00.093388,1103,3,1.0;1.0;1.0,2;2;4
2026-04-06T03:28:01.927392,1122,1,1.0,1
2026-04-06T03:28:03.232388,1137,1,1.0,3
2026-04-06T03:28:03.487384,1140,3,1.0;1.0;1.0,4;2;2
2026-04-06T03:28:03.658381,1142,1,1.0,3
2026-04-06T03:28:03.742387,1143,3,1.0;1.0;1.0,4;2;4
2026-04-06T03:28:04.073387,1147,3,1.0;1.0;1.0,3;2;3
2026-04-06T03:28:04.703388,1154,1,1.0,3
2026-04-06T03:28:05.645386,1165,1,1.0,2
2026-04-06T03:28:08.280386,1194,1,1.0,2
2026-04-06T03:28:08.757389,1199,1,1.0,3
2026-04-06T03:28:09.701387,1209,2,1.0;1.0,4;2
2026-04-06T03:28:10.005387,1213,1,1.0,2
2026-04-06T03:28:12.329388,1238,1,1.0,3
2026-04-06T03:28:13.209384,1250,2,1.0;1.0,2;3
2026-04-06T03:28:13.312385,1251,1,1.0,3
2026-04-06T03:28:14.213387,1261,2,1.0;1.0,4;4
2026-04-06T03:28:15.938382,1281,1,1.0,4
2026-04-06T03:28:16.362385,1286,1,1.0,3
2026-04-06T03:28:17.396388,1300,1,1.0,2
2026-04-06T03:28:18.671389,1315,2,1.0;1.0,4;2
2026-04-06T03:28:21.022386,1341,1,1.0,3
2026-04-06T03:28:21.238389,1343,1,1.0,4
2026-04-06T03:28:22.483389,1357,1,1.0,3
2026-04-06T03:28:22.852381,1360,1,1.0,3
2026-04-06T03:28:24.237387,1373,1,1.0,2
2026-04-06T03:28:24.411388,1375,2,1.0;1.0,4;4
2026-04-06T03:28:26.040386,1391,1,1.0,2
2026-04-06T03:28:31.892387,1448,1,1.0,2
2026-04-06T03:28:32.240389,1452,1,1.0,2
2026-04-06T03:28:33.710386,1470,3,1.0;1.0;1.0,2;2;2
2026-04-06T03:28:37.114387,1510,1,1.0,2
2026-04-06T03:28:37.976390,1520,2,1.0;1.0,4;1
2026-04-06T03:28:42.284385,1567,3,1.0;1.0;1.0,4;3;3
2026-04-06T03:28:43.044384,1576,1,1.0,3
2026-04-06T03:28:43.396385,1580,1,1.0,2
2026-04-06T03:28:43.693389,1583,1,1.0,3
2026-04-06T03:28:45.630386,1602,1,1.0,1
2026-04-06T03:28:45.758384,1604,1,1.0,2
2026-04-06T03:28:47.210385,1623,2,1.0;1.0,2;2
2026-04-06T03:28:48.084389,1632,1,1.0,2
2026-04-06T03:28:49.272384,1648,1,1.0,4
2026-04-06T03:28:49.364386,1649,1,1.0,2
2026-04-06T03:28:50.102389,1658,1,1.0,2
2026-04-06T03:28:50.353389,1661,1,1.0,1
2026-04-06T03:28:51.325386,1673,2,1.0;1.0,4;4
2026-04-06T03:28:51.481386,1675,3,1.0;1.0;1.0,2;4;4
2026-04-06T03:28:52.163381,1684,1,1.0,3
2026-04-06T03:28:53.257385,1698,1,1.0,2
2026-04-06T03:28:57.200388,1744,2,1.0;1.0,4;4
2026-04-06T03:28:57.566387,1748,1,1.0,2
2026-04-06T03:28:57.817387,1751,1,1.0,2
2026-04-06T03:28:57.902381,1752,3,1.0;1.0;1.0,3;2;4
2026-04-06T03:28:58.566388,1760,1,1.0,3
2026-04-06T03:28:59.417387,1771,1,1.0,2
2026-04-06T03:29:00.583390,1785,1,1.0,4
2026-04-06T03:29:03.494385,1816,2,1.0;1.0,2;3
2026-04-06T03:29:03.988386,1822,1,1.0,3
2026-04-06T03:29:06.017384,1845,1,1.0,3
2026-04-06T03:29:06.280383,1848,1,1.0,4
2026-04-06T03:29:06.368387,1849,1,1.0,4
2026-04-06T03:29:07.861385,1866,1,1.0,3
2026-04-06T03:29:08.208383,1870,1,1.0,2
2026-04-06T03:29:08.384385,1872,2,1.0;1.0,3;4
2026-04-06T03:29:08.565387,1874,1,1.0,4
2026-04-06T03:29:08.741382,1876,2,1.0;1.0,4;3
2026-04-06T03:29:11.294383,1908,2,1.0;1.0,2;3
2026-04-06T03:29:11.466386,1910,2,1.0;1.0,4;4
2026-04-06T03:29:12.147386,1918,3,1.0;1.0;1.0,4;3;3
2026-04-06T03:29:12.231381,1919,1,1.0,3
2026-04-06T03:29:15.563385,1961,1,1.0,1
2026-04-06T03:29:17.191385,1979,3,1.0;1.0;1.0,3;3;2
2026-04-06T03:29:18.185382,1990,1,1.0,3
2026-04-06T03:29:18.276381,1991,1,1.0,2
2026-04-06T03:29:19.092381,2000,2,1.0;1.0,2;2
2026-04-06T03:29:23.213381,2048,2,1.0;1.0,2;3
2026-04-06T03:29:23.420384,2050,2,1.0;1.0,2;2
2026-04-06T03:29:24.349385,2061,1,1.0,2
2026-04-06T03:29:30.190385,2126,1,1.0,2
